timestamp,some_data
2023-04-09,26
2023-04-10,77
2023-04-11,70
2023-04-12,39
2023-04-13,10
2023-04-14,99
2023-04-15,37
2023-04-16,55
2023-04-17,47
2023-04-18,89
2023-04-19,60
2023-04-20,37
2023-04-21,78
2023-04-22,85
2023-04-23,79
2023-04-24,11
2023-04-25,90
2023-04-26,40
2023-04-27,28
2023-04-28,28
2023-04-29,17
2023-04-30,78
2023-05-01,94
2023-05-02,51
2023-05-03,99
2023-05-04,10
2023-05-05,63
2023-05-06,34
2023-05-07,94
2023-05-08,85
2023-05-09,97
2023-05-10,29
2023-05-11,93
2023-05-12,22
2023-05-13,47
2023-05-14,45
2023-05-15,78
2023-05-16,66
2023-05-17,98
2023-05-18,64
2023-05-19,16
2023-05-20,85
2023-05-21,98
2023-05-22,16
2023-05-23,42
2023-05-24,61
2023-05-25,87
2023-05-26,64
2023-05-27,80
2023-05-28,51
2023-05-29,66
2023-05-30,65
2023-05-31,85
2023-06-01,29
2023-06-02,100
2023-06-03,22
2023-06-04,75
2023-06-05,79
2023-06-06,81
2023-06-07,40
2023-06-08,20
2023-06-09,55
2023-06-10,76
2023-06-11,43
2023-06-12,91
2023-06-13,45
2023-06-14,83
2023-06-15,87
2023-06-16,49
2023-06-17,91
2023-06-18,30
2023-06-19,45
2023-06-20,21
2023-06-21,56
2023-06-22,86
2023-06-23,63
2023-06-24,56
2023-06-25,29
2023-06-26,88
2023-06-27,100
2023-06-28,18
2023-06-29,92
2023-06-30,44
2023-07-01,76
2023-07-02,94
2023-07-03,96
2023-07-04,67
2023-07-05,56
2023-07-06,60
2023-07-07,33
2023-07-08,66
2023-07-09,59
2023-07-10,54
2023-07-11,84
2023-07-12,27
2023-07-13,70
2023-07-14,20
2023-07-15,64
2023-07-16,51
2023-07-17,93
